model,VIN,serial_no
Model D,N8UCGTTVDK5J,a42CLDR0156661577860220
Model C,YQUFVE90JTOF,a42CLDR0156661577860684
Model D,L507LM7V8WJ7,a42CLDR0156661577937801
Model D,GO3YFZ5EV6N7,a42CLDR0156661577862847
Model D,SFCTRAGETM7H,a42CLDR0156661577912053
Model D,23FCCK4O99XH,a42CLDR0156661577873027
Model C,XQR70UYP68JR,a42CLDR0156661577873207
Model C,JY3NTTMT336W,a42CLDR0156661577906844
Model R,RWKXWXOG85ZK,a42CLDR0156661577886978
Model D,XTWZMXBVHDVN,a42CLDR0156661577881043
Model C,PQN9TRBXVI30,a42CLDR0156661577898525
Model D,K9EPNMFSLG8C,a42CLDR0156661577895356
Model D,OT3UD9JRPWA1,a42CLDR0156661577922744
Model R,5KUBCMEHENTY,a42CLDR0156661577916414
Model C,O5O9K6X198KY,a42CLDR0156661577899796
Model C,BYBPZUJURWK7,a42CLDR0156661577901276
Model C,JXZXCBAEX2HI,a42CLDR0156661577930425
Model R,228FEEYEULFQ,a42CLDR0156661577878619
Model C,W7MQOOXFR1EF,a42CLDR0156661577995267
Model C,VQRYNFP6PQS9,a42CLDR0156661577948312
Model D,92IWEXIYUI0B,a42CLDR0156661578009668
Model R,KA51QNQO9Z0V,a42CLDR0156661578028334
Model D,YIMVVWXD7URV,a42CLDR0156661577999541
Model R,BVSJPOWY0HUO,a42CLDR0156661577999215
Model C,44BDSP2E3Z9D,a42CLDR0156661577951084
Model D,ZVRCWJR0YCLS,a42CLDR0156661577951080
Model D,87O0GYMEID1L,a42CLDR0156661578009059
Model D,PUQVY6Q93JGN,a42CLDR0156661577946542
Model D,BSPKPWX123W1,a42CLDR0156661577984028
Model D,P4WXVDMEF3I4,a42CLDR0156661577993872
Model R,FIRKN60B9IHC,a42CLDR0156661577978739
Model R,9A1C60F6X1O7,a42CLDR0156661578026412
Model C,TKQTA5N9UVG1,a42CLDR0156661577973258
Model D,BTFGAHT63GAB,a42CLDR0156661577946597
Model D,F5SZ1RWWZHG4,a42CLDR0156661578023888
Model C,9N0WIRIWFC9Y,a42CLDR0156661578026559
Model D,4JYGLX1S92LN,a42CLDR0156661578019227
Model D,BG2N5R3L584A,a42CLDR0156661578056904
Model C,HLDAGAI8061M,a42CLDR0156661578105679
Model R,18HNR9HKFP5F,a42CLDR0156661578113956
Model D,S7RUWSUHTCL1,a42CLDR0156661578084479
Model R,5YO2SDLXHWSE,a42CLDR0156661578114126
