customer_id,model,saleprice,sale_date,VIN
1,Model R,110941.71,6/19/2020,N8UCGTTVDK5J
2,Model C,65732.18,4/27/2020,YQUFVE90JTOF
4,Model R,97454.85,12/28/2020,L507LM7V8WJ7
5,Model D,83483.91,9/24/2020,GO3YFZ5EV6N7
7,Model D,89141.82,11/27/2020,SFCTRAGETM7H
8,Model C,77945.26,8/6/2020,23FCCK4O99XH
10,Model R,99009.65,1/10/2020,XQR70UYP68JR
11,Model D,83402.90,10/26/2020,JY3NTTMT336W
13,Model D,76119.15,7/25/2020,RWKXWXOG85ZK
14,Model D,76133.27,9/30/2020,XTWZMXBVHDVN
16,Model D,78954.68,8/7/2020,PQN9TRBXVI30
17,Model C,84015.91,8/20/2020,K9EPNMFSLG8C
19,Model R,113829.14,4/25/2020,OT3UD9JRPWA1
20,Model D,87810.92,2/18/2020,5KUBCMEHENTY
22,Model R,114184.33,11/18/2020,O5O9K6X198KY
23,Model R,95093.30,12/4/2020,BYBPZUJURWK7
25,Model D,88674.87,1/11/2020,JXZXCBAEX2HI
26,Model C,67914.68,7/29/2020,228FEEYEULFQ
28,Model D,77169.37,9/16/2020,W7MQOOXFR1EF
29,Model R,95687.02,7/29/2020,VQRYNFP6PQS9
31,Model D,90423.08,10/23/2020,92IWEXIYUI0B
32,Model C,69030.68,3/18/2020,KA51QNQO9Z0V
34,Model R,93705.41,7/20/2020,YIMVVWXD7URV
35,Model D,88999.32,4/15/2020,BVSJPOWY0HUO
37,Model R,96819.56,6/2/2020,44BDSP2E3Z9D
38,Model D,88246.07,12/13/2020,ZVRCWJR0YCLS
40,Model C,82314.99,7/18/2020,87O0GYMEID1L
41,Model D,90576.32,6/10/2020,PUQVY6Q93JGN
43,Model R,113841.64,11/26/2020,BSPKPWX123W1
44,Model D,90314.31,9/10/2020,P4WXVDMEF3I4
46,Model C,66533.72,3/12/2020,FIRKN60B9IHC
47,Model D,76366.11,5/12/2020,9A1C60F6X1O7
49,Model D,75569.59,9/17/2020,TKQTA5N9UVG1
50,Model D,80767.88,12/25/2020,BTFGAHT63GAB
52,Model R,111986.78,1/19/2020,F5SZ1RWWZHG4
53,Model R,102816.86,3/20/2020,9N0WIRIWFC9Y
55,Model D,76249.43,2/15/2020,4JYGLX1S92LN
56,Model C,70002.30,11/5/2020,BG2N5R3L584A
58,Model R,103222.72,3/17/2020,HLDAGAI8061M
59,Model D,92659.32,10/6/2020,18HNR9HKFP5F
61,Model D,82054.80,11/18/2020,S7RUWSUHTCL1
62,Model R,102985.24,2/28/2020,5YO2SDLXHWSE
64,Model R,92367.98,4/16/2020,X0E1TEOUDMSK
65,Model C,72560.87,2/1/2020,GTBF7SAL3NMX
67,Model D,76672.85,5/19/2020,X2D70QXBEZGF
68,Model C,78696.15,5/19/2020,FQMC4FUZ4BP3
70,Model R,95966.74,6/24/2020,AK2065TBUSBB
71,Model D,94610.03,11/29/2020,YADUO1O7KT2J
73,Model R,97744.43,5/22/2020,VBGHAK2EZ9VF
74,Model C,81100.81,4/13/2020,W6HUR9VLIOP9
76,Model C,84250.03,11/28/2020,TE1ZBCKMU0QY
77,Model D,94507.48,3/8/2020,LMKWJ0E91BRZ
79,Model D,87874.22,5/11/2020,DAPZOGU0GCTW
