factory_no,machine_no,part_no,serial_no,timestamp,status
5,1,a42CLDR,a42CLDR0156661577879108,1577879108.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577860220,1577860220.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577860684,1577860684.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577937801,1577937801.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577862847,1577862848.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577912053,1577912054.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577873027,1577873027.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577873207,1577873208.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577906844,1577906844.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577886978,1577886979.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577881043,1577881044.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577898525,1577898525.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577895356,1577895356.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577922744,1577922744.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577916414,1577916415.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577899796,1577899797.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577901276,1577901277.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577930425,1577930425.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577878619,1577878620.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577995267,1577995268.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577948312,1577948312.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578009668,1578009669.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578028334,1578028335.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577999541,1577999541.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577999215,1577999216.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577951084,1577951084.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577951080,1577951081.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578009059,1578009060.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577946542,1577946542.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577984028,1577984029.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577993872,1577993873.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577978739,1577978739.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578026412,1578026413.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577973258,1577973258.00,beta_engine
5,1,a42CLDR,a42CLDR0156661577946597,1577946598.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578023888,1578023888.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578026559,1578026559.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578019227,1578019228.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578056904,1578056904.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578105679,1578105680.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578113956,1578113957.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578084479,1578084480.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578114126,1578114126.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578048977,1578048978.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578068063,1578068063.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578112734,1578112734.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578040683,1578040684.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578105489,1578105490.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578100110,1578100110.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578080929,1578080930.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578076428,1578076429.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578091139,1578091140.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578116002,1578116002.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578090957,1578090958.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578096829,1578096830.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578050374,1578050375.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578073469,1578073470.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578151628,1578151629.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578197637,1578197638.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578162571,1578162572.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578143487,1578143488.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578149477,1578149477.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578150989,1578150990.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578120266,1578120267.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578191989,1578191989.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578166019,1578166020.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578190141,1578190142.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578159540,1578159541.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578159050,1578159051.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578193088,1578193089.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578186456,1578186456.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578141713,1578141714.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578145782,1578145783.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578135785,1578135785.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578150068,1578150068.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578191902,1578191903.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578257689,1578257690.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578237476,1578237476.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578219626,1578219627.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578221282,1578221282.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578263636,1578263637.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578261515,1578261515.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578268336,1578268336.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578251635,1578251635.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578270461,1578270461.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578289745,1578289746.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578289688,1578289689.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578213920,1578213921.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578256859,1578256859.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578228420,1578228421.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578235206,1578235206.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578274624,1578274624.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578267340,1578267341.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578205214,1578205215.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578235861,1578235862.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578370003,1578370004.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578309393,1578309394.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578331486,1578331487.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578313856,1578313856.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578291561,1578291562.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578328210,1578328211.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578324630,1578324630.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578322254,1578322255.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578311112,1578311112.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578368451,1578368452.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578304044,1578304045.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578374821,1578374821.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578323986,1578323987.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578325626,1578325626.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578368092,1578368093.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578352639,1578352639.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578305832,1578305832.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578375876,1578375876.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578296119,1578296120.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578450181,1578450182.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578411086,1578411086.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578415804,1578415804.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578430939,1578430939.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578399349,1578399350.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578453662,1578453662.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578411214,1578411215.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578419482,1578419483.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578419353,1578419354.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578439294,1578439294.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578448929,1578448929.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578386156,1578386156.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578389157,1578389158.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578396263,1578396263.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578407781,1578407781.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578397015,1578397015.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578456985,1578456985.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578393912,1578393913.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578416516,1578416517.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578485533,1578485533.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578546893,1578546894.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578511959,1578511960.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578534231,1578534232.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578470112,1578470113.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578488189,1578488190.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578468125,1578468126.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578476257,1578476258.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578543080,1578543081.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578531206,1578531206.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578527734,1578527735.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578480992,1578480992.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578533297,1578533298.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578474012,1578474013.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578536013,1578536014.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578502317,1578502318.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578537584,1578537585.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578504736,1578504736.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578484789,1578484789.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578553000,1578553001.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578550135,1578550135.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578571381,1578571382.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578587213,1578587214.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578589584,1578589584.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578616705,1578616705.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578583515,1578583516.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578562868,1578562868.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578614962,1578614962.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578578498,1578578499.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578594669,1578594670.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578581650,1578581650.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578578982,1578578983.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578611046,1578611046.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578591545,1578591545.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578604736,1578604737.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578584138,1578584138.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578597800,1578597801.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578595386,1578595387.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578648467,1578648467.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578676161,1578676161.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578647667,1578647668.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578720106,1578720107.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578641048,1578641049.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578679876,1578679877.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578692498,1578692499.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578698394,1578698395.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578720152,1578720153.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578639808,1578639809.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578681975,1578681976.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578646772,1578646773.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578650962,1578650963.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578684187,1578684187.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578674324,1578674324.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578706548,1578706548.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578638680,1578638681.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578714821,1578714822.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578705912,1578705913.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578745993,1578745994.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578797130,1578797130.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578749225,1578749226.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578808460,1578808461.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578791437,1578791438.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578782046,1578782047.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578744946,1578744946.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578761955,1578761956.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578755848,1578755849.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578755637,1578755637.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578722422,1578722422.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578785894,1578785895.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578773072,1578773073.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578758795,1578758795.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578751093,1578751093.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578785974,1578785975.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578754766,1578754766.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578742506,1578742506.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578727994,1578727995.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578865715,1578865715.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578830893,1578830894.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578850202,1578850202.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578894999,1578894999.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578832268,1578832269.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578826986,1578826987.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578867967,1578867967.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578819876,1578819876.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578820156,1578820157.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578857378,1578857379.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578820773,1578820773.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578874149,1578874149.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578895013,1578895013.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578865451,1578865451.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578816696,1578816697.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578828740,1578828740.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578843055,1578843055.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578824785,1578824786.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578881054,1578881055.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578973981,1578973981.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578920957,1578920958.00,beta_engine
5,1,a42CLDR,a42CLDR0156661578941202,1578941202.00,beta_engine
