customer_id,model,saleprice,VIN,month,year,day
8767,Model C,67375.31,0HX4KD5TYFDG,1,2020,1
1676,Model D,93509.9,KFZ4FRYYETS1,1,2020,1
7790,Model D,85435.72,KUJGEOTMT1GS,1,2020,1
9026,Model C,70991.81,E4ZDWC1DTD65,1,2020,1
2360,Model D,94190.78,4MRD2FUC9EB1,1,2020,1
6916,Model D,93320.26,FJUDL4W3LJ2V,1,2020,1
4031,Model R,92141.07,PUIWZ3THQ2ZF,1,2020,1
4675,Model R,112109.39,3XXNSS83SCFT,1,2020,1
2813,Model R,113953.67,BDSTUZU8T5MI,1,2020,1
8972,Model C,67436.32,AH938WVKCRHY,1,2020,1
1358,Model D,89012.89,X8MBV8PVB43U,1,2020,1
8023,Model D,84353.67,VJPB9R1NXG2M,1,2020,1
6223,Model C,73228.97,CHV51N10YATV,1,2020,1
9673,Model R,104818.9,5ND46MVBQ84Z,1,2020,1
6049,Model C,74590.36,I4J0RPAZPHYR,1,2020,1
9659,Model D,77358.23,46IB30MFO58S,1,2020,1
236,Model D,77967.14,TBKGNGC9BGLE,1,2020,1
9100,Model D,80291.34,ACSQIOJUYPBF,1,2020,1
9937,Model D,76544.18,48QROWGCQFYF,1,2020,1
6164,Model C,71791.96,XZZZ50A6AEMY,1,2020,1
8618,Model D,96106.78,8SVW3TWKFBHI,1,2020,2
8278,Model D,88609.48,7P1OEI6VG14K,1,2020,2
1540,Model R,113380.71,UTZGA5Q0KX8Y,1,2020,2
3494,Model R,95677.07,B3HFEBWHXSX2,1,2020,2
83,Model C,75990.56,3LAMFNRF5WTV,1,2020,2
3538,Model D,87385.53,8QM8CTGN3Y46,1,2020,2
5476,Model C,67707.94,PKUUA0CE7L67,1,2020,2
7918,Model R,108439.46,DWQQTJ578HDQ,1,2020,2
5591,Model D,78298.88,3X9KC91R6LO3,1,2020,2
5540,Model C,84066.99,KTD55JUXBAM1,1,2020,2
182,Model R,100872.31,2ZVCZPQM6UJW,1,2020,2
9266,Model D,93549.26,0ACQ8DUT8DCB,1,2020,2
7243,Model R,95422.5,978URI4TPTFT,1,2020,2
6464,Model C,65318.64,FT179HS2U92O,1,2020,2
5630,Model C,75930.93,024ULW40QVG4,1,2020,2
6569,Model C,74891.31,KI866XRKH4O1,1,2020,2
4000,Model C,65377.13,9VGPCWVOE9W1,1,2020,2
1718,Model C,75900.24,CW6BT2S5W1V1,1,2020,3
5809,Model D,76982.64,2VTFY1JKCG1Q,1,2020,3
8207,Model D,77921.04,J89ULIG7FADX,1,2020,3
7876,Model C,75558.95,KGA893W60LV6,1,2020,3
4220,Model D,87988.08,LTW2L4X3YAS7,1,2020,3
5305,Model D,79144.7,EYMQ0TFWNKD4,1,2020,3
9059,Model R,92089.63,UXXMRE8NCOKY,1,2020,3
9844,Model D,90441.22,EYQGRRJYJADW,1,2020,3
7627,Model D,83698.68,J0DA8WZKH7J8,1,2020,3
5950,Model D,74413.45,JTN74IRB7YI4,1,2020,3
1376,Model R,96163.93,R0A0IDFRAYC6,1,2020,3
9061,Model C,70284.81,TA8ZBF3U2WIF,1,2020,3
7702,Model D,84603.01,07LFKTTUZGS7,1,2020,3
4906,Model R,103841.54,WUQBBK2YY8L8,1,2020,3
